BOROUGH,BUILDING CLASS CATEGORY,COMMERCIAL UNITS,GROSS SQUARE FEET,SALE PRICE,LAND SQUARE FEET,RESIDENTIAL UNITS
Manhattan,03 THREE FAMILY DWELLINGS,0,3072,2137500,1682,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2370,4600000,1386,1
Manhattan,01 ONE FAMILY DWELLINGS,1,4140,4800000,1858,1
Manhattan,14 RENTALS - 4-10 UNIT,1,8727,1630000,2466,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3479,2525000,1599,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6154,3050000,1817,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4774,3750000,1700,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3059,2400000,1399,10
Manhattan,02 TWO FAMILY DWELLINGS,0,3460,2380000,1665,2
Manhattan,41 TAX CLASS 4 - OTHER,11,4584,3006270,1975,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4216,3100000,1870,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2652,1100000,1665,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4166,3675000,1890,9
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,13546,388389,3445,22
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2499,700000,1665,8
Manhattan,14 RENTALS - 4-10 UNIT,1,3840,4000000,1300,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7228,1900000,6164,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2688,1900000,934,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2646,2450000,1549,6
Manhattan,02 TWO FAMILY DWELLINGS,0,3440,1638905,1274,2
Manhattan,01 ONE FAMILY DWELLINGS,0,1440,739000,938,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,19056,3700000,4580,24
Manhattan,01 ONE FAMILY DWELLINGS,0,1880,3075000,469,1
Manhattan,23 LOFT BUILDINGS,2,10298,1475000,2342,5
Manhattan,02 TWO FAMILY DWELLINGS,0,3712,3450000,1615,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4734,3870400,1683,6
Manhattan,22 STORE BUILDINGS,1,1500,1825000,2500,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4706,2275000,1799,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,8765,565000,2375,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2649,2075000,1699,7
Manhattan,01 ONE FAMILY DWELLINGS,0,3680,3468750,1975,1
Manhattan,22 STORE BUILDINGS,1,2822,4500000,795,0
Manhattan,03 THREE FAMILY DWELLINGS,0,3080,1200134,1449,3
Manhattan,03 THREE FAMILY DWELLINGS,0,2970,2400000,2348,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15516,360000,3964,19
Manhattan,01 ONE FAMILY DWELLINGS,0,2475,2300000,1232,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4180,1825000,1892,2
Manhattan,14 RENTALS - 4-10 UNIT,1,5100,4850000,2008,5
Manhattan,03 THREE FAMILY DWELLINGS,0,3036,1900000,2304,3
Manhattan,22 STORE BUILDINGS,2,2014,1788000,2265,0
Manhattan,02 TWO FAMILY DWELLINGS,0,3000,2425000,1665,2
Manhattan,11 SPECIAL CONDO BILLING LOTS,0,19429,1399000,2550,17
Manhattan,35 INDOOR PUBLIC AND CULTURAL FACILITIES,4,5540,3750000,2071,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,9624,3200000,2595,9
Manhattan,14 RENTALS - 4-10 UNIT,1,6350,3200000,2018,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,3,14650,4020822,2775,20
Manhattan,22 STORE BUILDINGS,3,5924,4020822,2600,1
Manhattan,01 ONE FAMILY DWELLINGS,0,1528,375000,1254,1
Manhattan,02 TWO FAMILY DWELLINGS,0,4000,4900000,1661,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2880,3650000,900,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9340,400000,2375,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6940,565110,2188,8
Manhattan,01 ONE FAMILY DWELLINGS,0,3000,1800000,1665,1
Manhattan,11 SPECIAL CONDO BILLING LOTS,0,19429,1075000,2550,17
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9790,900000,2605,15
Manhattan,14 RENTALS - 4-10 UNIT,1,3640,3150000,1883,6
Manhattan,02 TWO FAMILY DWELLINGS,1,5248,4800000,1400,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4437,4000000,1716,3
Manhattan,22 STORE BUILDINGS,2,3988,4000000,2325,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5787,2940000,1716,10
Manhattan,03 THREE FAMILY DWELLINGS,0,3476,2300000,1665,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3416,2300000,1873,2
Manhattan,03 THREE FAMILY DWELLINGS,0,3200,2200000,1599,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6005,1030000,1850,7
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6100,1071000,2348,5
Manhattan,03 THREE FAMILY DWELLINGS,0,4593,2600000,1799,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,7892,1200000,2138,12
Manhattan,03 THREE FAMILY DWELLINGS,0,4572,531527,1799,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3340,3450000,1950,4
Manhattan,03 THREE FAMILY DWELLINGS,0,3060,2640000,1682,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3328,2000000,1248,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7445,4650000,2321,15
Manhattan,14 RENTALS - 4-10 UNIT,1,4256,2650000,1508,6
Manhattan,02 TWO FAMILY DWELLINGS,0,3896,2725000,1499,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6094,4450000,2008,10
Manhattan,14 RENTALS - 4-10 UNIT,1,3500,2950000,2000,6
Manhattan,01 ONE FAMILY DWELLINGS,0,4947,3450000,2018,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,14347,1550000,4337,7
Manhattan,01 ONE FAMILY DWELLINGS,0,3935,2421900,2141,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3488,4600000,1635,5
Manhattan,01 ONE FAMILY DWELLINGS,0,1736,1825000,2500,1
Manhattan,14 RENTALS - 4-10 UNIT,1,4520,2020000,1460,3
Manhattan,01 ONE FAMILY DWELLINGS,1,3000,3400000,1296,1
Manhattan,22 STORE BUILDINGS,2,4550,1542879,2500,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10195,4317000,2243,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9345,4180000,2183,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12995,4480000,3402,20
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12585,4946000,3420,20
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5915,1183000,1584,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9470,2630000,3031,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9470,2740000,2950,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10710,2874000,2875,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10710,3150000,2779,10
Manhattan,02 TWO FAMILY DWELLINGS,1,3744,2100000,1650,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2991,1050000,1732,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12300,260000,3042,18
Manhattan,22 STORE BUILDINGS,4,9075,831250,1932,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3096,775000,1881,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4400,2150000,2220,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2584,3845000,725,1
Manhattan,01 ONE FAMILY DWELLINGS,0,1914,945000,2248,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3332,1075000,1665,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3080,4050000,1480,2
Manhattan,22 STORE BUILDINGS,2,2588,2900000,1294,0
Manhattan,14 RENTALS - 4-10 UNIT,2,3000,2300000,1000,6
Manhattan,14 RENTALS - 4-10 UNIT,2,5275,4575000,2352,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6048,3150000,1529,9
Manhattan,02 TWO FAMILY DWELLINGS,0,3080,3700000,1407,2
Manhattan,02 TWO FAMILY DWELLINGS,0,3952,2647000,2081,2
Manhattan,02 TWO FAMILY DWELLINGS,0,2655,650000,2975,2
Manhattan,14 RENTALS - 4-10 UNIT,1,6099,1637875,1394,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2984,4950000,910,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3456,4687500,1761,2
Manhattan,01 ONE FAMILY DWELLINGS,0,3080,4950000,1480,1
Manhattan,02 TWO FAMILY DWELLINGS,0,3852,3400000,3197,2
Manhattan,14 RENTALS - 4-10 UNIT,1,4890,3700000,1839,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2622,1785000,1749,4
Manhattan,22 STORE BUILDINGS,1,3000,3000000,2625,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,6515,1600000,2640,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,4200,2600000,1003,15
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,4020,2600000,1003,6
Manhattan,02 TWO FAMILY DWELLINGS,0,1425,1589000,673,2
Manhattan,03 THREE FAMILY DWELLINGS,0,4410,1450000,5167,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3456,4650000,1888,2
Manhattan,01 ONE FAMILY DWELLINGS,0,4720,3450000,2000,1
Manhattan,03 THREE FAMILY DWELLINGS,0,3172,2100000,1499,3
Manhattan,01 ONE FAMILY DWELLINGS,0,2400,950000,1499,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2590,850010,1199,4
Manhattan,03 THREE FAMILY DWELLINGS,0,2852,2265500,1699,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3328,1950000,1665,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2499,1600000,1665,9
Manhattan,03 THREE FAMILY DWELLINGS,0,2660,1827500,1011,3
Manhattan,03 THREE FAMILY DWELLINGS,0,3000,2135000,1499,3
Manhattan,14 RENTALS - 4-10 UNIT,1,8510,351384,1902,4
Manhattan,01 ONE FAMILY DWELLINGS,1,3680,3200000,2090,1
Manhattan,01 ONE FAMILY DWELLINGS,0,4400,2900000,2160,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,4567,2200000,1398,13
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9214,735000,1857,9
Manhattan,07 RENTALS - WALKUP APARTMENTS,3,19790,405000,3992,21
Manhattan,01 ONE FAMILY DWELLINGS,0,2472,1221900,1329,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,18690,2583642,4616,18
Manhattan,14 RENTALS - 4-10 UNIT,1,4544,1700413,1892,5
Manhattan,01 ONE FAMILY DWELLINGS,0,5520,4675000,1839,1
Manhattan,01 ONE FAMILY DWELLINGS,0,1708,649000,2500,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6294,1175000,2169,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7175,4250000,2770,12
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,5740,4050000,2510,7
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7989,1950000,2393,12
Manhattan,08 RENTALS - ELEVATOR APARTMENTS,0,8493,975000,2369,13
Manhattan,14 RENTALS - 4-10 UNIT,2,5382,4950000,1709,3
Manhattan,22 STORE BUILDINGS,1,2920,2100000,2000,0
Manhattan,01 ONE FAMILY DWELLINGS,0,3392,1800000,1507,1
Manhattan,22 STORE BUILDINGS,2,4912,3828000,1237,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3454,2479200,2090,5
Manhattan,02 TWO FAMILY DWELLINGS,0,2224,1825000,780,2
Manhattan,02 TWO FAMILY DWELLINGS,0,2400,1315000,1499,2
Manhattan,01 ONE FAMILY DWELLINGS,0,2800,1550000,1081,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4776,2400000,2018,4
Manhattan,02 TWO FAMILY DWELLINGS,0,2052,4100000,937,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,11394,290000,2500,13
Manhattan,22 STORE BUILDINGS,3,4019,2400000,1519,2
Manhattan,01 ONE FAMILY DWELLINGS,0,4716,3600000,2098,1
Manhattan,22 STORE BUILDINGS,5,7562,1010000,4992,0
Manhattan,22 STORE BUILDINGS,3,4700,4750000,2468,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4335,1760000,1514,7
Manhattan,01 ONE FAMILY DWELLINGS,0,4400,2575000,1699,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,18254,625000,4542,28
Manhattan,37 RELIGIOUS FACILITIES,1,3414,1356000,2498,0
Manhattan,03 THREE FAMILY DWELLINGS,0,3738,1090000,3610,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4084,1800000,1965,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12310,384800,3364,15
Manhattan,02 TWO FAMILY DWELLINGS,1,4488,425000,1650,2
Manhattan,02 TWO FAMILY DWELLINGS,0,4125,4700000,1380,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2909,2000000,1699,4
Manhattan,03 THREE FAMILY DWELLINGS,0,2752,1180366,796,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10690,2750000,3730,12
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5507,3350000,1917,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4260,2000000,1699,4
Manhattan,01 ONE FAMILY DWELLINGS,0,4216,1719000,1699,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6855,900000,2146,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15950,333000,4350,15
Manhattan,02 TWO FAMILY DWELLINGS,0,3564,3800000,1700,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2796,950000,1699,11
Manhattan,22 STORE BUILDINGS,1,1900,2650000,2375,0
Manhattan,03 THREE FAMILY DWELLINGS,0,2666,4800000,1925,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2547,1100000,1333,8
Manhattan,02 TWO FAMILY DWELLINGS,1,3750,1850000,1682,2
Manhattan,01 ONE FAMILY DWELLINGS,0,2167,1530000,3167,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4000,3200000,2100,16
Manhattan,14 RENTALS - 4-10 UNIT,1,4760,4650000,1537,3
Manhattan,02 TWO FAMILY DWELLINGS,0,3000,1997000,1499,2
Manhattan,02 TWO FAMILY DWELLINGS,0,2984,1750000,1386,2
Manhattan,14 RENTALS - 4-10 UNIT,2,11165,600000,2533,3
Manhattan,14 RENTALS - 4-10 UNIT,2,11165,2950000,2533,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,7415,4495000,2888,9
Manhattan,03 THREE FAMILY DWELLINGS,0,3800,1366798,1982,3
Manhattan,02 TWO FAMILY DWELLINGS,0,2296,4450000,850,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,11970,1950000,3292,16
Manhattan,02 TWO FAMILY DWELLINGS,0,3618,440000,1799,2
Manhattan,02 TWO FAMILY DWELLINGS,0,4000,4080000,1975,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9100,1800000,2523,15
Manhattan,02 TWO FAMILY DWELLINGS,0,2880,975000,4340,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,8820,1706399,2576,18
Manhattan,02 TWO FAMILY DWELLINGS,1,8509,2350000,2952,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2889,1375000,1923,4
Manhattan,02 TWO FAMILY DWELLINGS,0,3740,2769000,1445,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4172,4150000,1703,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4675,3200000,1200,10
Manhattan,03 THREE FAMILY DWELLINGS,0,3636,2275000,1848,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2149,1200000,1313,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3491,4350000,2065,4
Manhattan,14 RENTALS - 4-10 UNIT,2,4873,3000000,1615,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3000,1751000,1432,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4554,3500000,1762,8
Manhattan,03 THREE FAMILY DWELLINGS,0,4525,2350000,2000,3
Manhattan,01 ONE FAMILY DWELLINGS,1,2304,700000,807,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,18099,220000,3900,29
Manhattan,14 RENTALS - 4-10 UNIT,1,6985,1337000,2271,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2559,4000000,1067,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2646,499000,1665,4
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,16955,4505000,5000,21
Manhattan,02 TWO FAMILY DWELLINGS,0,4343,3400000,1873,2
Manhattan,03 THREE FAMILY DWELLINGS,0,5200,2075000,2498,3
Manhattan,02 TWO FAMILY DWELLINGS,0,6250,2700000,2018,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,3351,2782500,1850,8
Manhattan,01 ONE FAMILY DWELLINGS,0,1528,710000,1254,1
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2520,1850000,1235,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4400,2500000,1700,13
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5592,2350000,2523,8
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2561,255000,1682,11
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3400,110000,1699,9
Manhattan,01 ONE FAMILY DWELLINGS,0,2560,1100000,800,1
Manhattan,02 TWO FAMILY DWELLINGS,0,1980,999000,900,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,8675,2966581,2498,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,9430,2966581,4996,19
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12230,2966581,3324,15
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,8085,2254579,2250,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,8085,2254579,2250,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,8085,2254579,2250,10
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,12435,2254579,3006,15
Manhattan,02 TWO FAMILY DWELLINGS,0,3312,1100000,2800,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3888,3550000,1830,9
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4496,4385000,2013,7
Manhattan,22 STORE BUILDINGS,4,1394,3000000,1418,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4000,3300000,1840,8
Manhattan,02 TWO FAMILY DWELLINGS,0,4220,2875000,1665,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5594,3450000,1825,6
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4154,600000,2059,4
Manhattan,21 OFFICE BUILDINGS,4,8800,4750000,2200,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,10610,384000,2605,20
Manhattan,02 TWO FAMILY DWELLINGS,0,4680,4700000,2018,2
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,13248,1269168,2772,19
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15006,2840000,3797,24
Manhattan,29 COMMERCIAL GARAGES,1,500,3000000,3525,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,6954,4300000,3020,16
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5185,3200000,1280,10
Manhattan,22 STORE BUILDINGS,5,15851,4760000,8801,0
Manhattan,03 THREE FAMILY DWELLINGS,0,3708,2226825,1817,3
Manhattan,03 THREE FAMILY DWELLINGS,0,4750,2850000,1998,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15370,2318246,4371,24
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,13040,1723650,3922,19
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,17585,1723650,4996,20
Manhattan,07 RENTALS - WALKUP APARTMENTS,1,9825,2050000,2500,17
Manhattan,22 STORE BUILDINGS,4,6070,4399168,1600,0
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,3400,2300000,1711,4
Manhattan,30 WAREHOUSES,1,1350,1100000,1594,0
Manhattan,02 TWO FAMILY DWELLINGS,0,3072,1200000,1665,2
Manhattan,03 THREE FAMILY DWELLINGS,0,3040,2025000,1440,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,4075,2230000,1716,5
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,2796,1999170,1699,11
Manhattan,07 RENTALS - WALKUP APARTMENTS,2,8835,617310,2350,13
Manhattan,03 THREE FAMILY DWELLINGS,0,4275,2480000,1873,3
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,15516,155000,3964,19
Manhattan,07 RENTALS - WALKUP APARTMENTS,0,5872,2750000,2098,17
Manhattan,29 COMMERCIAL GARAGES,3,7494,4250000,7494,0
Manhattan,21 OFFICE BUILDINGS,3,7774,1900000,1737,2
Bronx,01 ONE FAMILY DWELLINGS,0,570,180100,950,1
Bronx,01 ONE FAMILY DWELLINGS,0,570,295000,817,1
Bronx,29 COMMERCIAL GARAGES,1,720,110000,819,0
Brooklyn,01 ONE FAMILY DWELLINGS,0,892,670000,858,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,750,630000,662,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,980,805000,980,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,540,341320,997,1
Brooklyn,29 COMMERCIAL GARAGES,1,500,900000,575,0
Brooklyn,01 ONE FAMILY DWELLINGS,0,596,200000,800,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,960,660000,986,1
Brooklyn,22 STORE BUILDINGS,1,440,365000,584,0
Brooklyn,01 ONE FAMILY DWELLINGS,0,492,390000,864,1
Brooklyn,02 TWO FAMILY DWELLINGS,0,952,670000,719,2
Brooklyn,01 ONE FAMILY DWELLINGS,0,924,495000,744,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,585,1235000,345,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,585,1070000,369,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,880,1550000,833,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,558,200000,836,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,558,398000,836,1
Queens,01 ONE FAMILY DWELLINGS,0,986,220000,305,1
Queens,01 ONE FAMILY DWELLINGS,0,928,700000,912,1
Queens,01 ONE FAMILY DWELLINGS,0,686,390000,988,1
Staten Island,01 ONE FAMILY DWELLINGS,0,929,265000,353,1
Staten Island,01 ONE FAMILY DWELLINGS,0,929,242500,353,1
Staten Island,01 ONE FAMILY DWELLINGS,0,929,265000,353,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,363999,640,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,282500,640,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,286014,640,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,340000,640,1
Staten Island,01 ONE FAMILY DWELLINGS,0,648,225000,552,1
Staten Island,01 ONE FAMILY DWELLINGS,0,936,330000,630,1
Staten Island,01 ONE FAMILY DWELLINGS,0,936,250000,630,1
Staten Island,01 ONE FAMILY DWELLINGS,0,938,328000,702,1
Staten Island,01 ONE FAMILY DWELLINGS,0,948,380000,648,1
Staten Island,01 ONE FAMILY DWELLINGS,0,816,280000,442,1
Staten Island,01 ONE FAMILY DWELLINGS,0,900,435000,995,1
Staten Island,01 ONE FAMILY DWELLINGS,0,818,424700,900,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,238798,872,1
Staten Island,01 ONE FAMILY DWELLINGS,0,980,300029,872,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,334960,880,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,326250,880,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,200000,880,1
Staten Island,01 ONE FAMILY DWELLINGS,0,432,439900,880,1
Staten Island,01 ONE FAMILY DWELLINGS,0,924,224829,780,1
Staten Island,01 ONE FAMILY DWELLINGS,0,900,418000,868,1
Staten Island,01 ONE FAMILY DWELLINGS,0,780,399000,735,1
Staten Island,01 ONE FAMILY DWELLINGS,0,768,216000,784,1
Staten Island,01 ONE FAMILY DWELLINGS,0,780,379500,899,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,377000,770,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,396900,800,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,365000,800,1
Staten Island,01 ONE FAMILY DWELLINGS,0,960,390000,800,1
Manhattan,01 ONE FAMILY DWELLINGS,0,951,4800000,760,1
Manhattan,44 CONDO PARKING,1,163,106064,163,0
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,409,510000,871,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,414,541000,871,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,827,930000,436,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,451,895000,436,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,779,459676,436,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,781,1300000,436,1
Manhattan,13 CONDOS - ELEVATOR APARTMENTS,0,763,2295000,436,1
Bronx,02 TWO FAMILY DWELLINGS,0,660,300000,697,2
Bronx,01 ONE FAMILY DWELLINGS,0,906,350000,851,1
Bronx,01 ONE FAMILY DWELLINGS,0,570,200500,900,1
Bronx,01 ONE FAMILY DWELLINGS,0,570,220000,849,1
Bronx,01 ONE FAMILY DWELLINGS,0,570,164900,985,1
Bronx,01 ONE FAMILY DWELLINGS,0,960,315000,825,1
Bronx,01 ONE FAMILY DWELLINGS,0,960,400000,825,1
Bronx,22 STORE BUILDINGS,1,640,635310,794,0
Bronx,13 CONDOS - ELEVATOR APARTMENTS,0,800,309000,740,1
Bronx,01 ONE FAMILY DWELLINGS,0,806,294000,854,1
Bronx,01 ONE FAMILY DWELLINGS,0,975,412000,802,1
Bronx,02 TWO FAMILY DWELLINGS,0,960,212000,935,2
Brooklyn,01 ONE FAMILY DWELLINGS,0,892,670000,845,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,840,650000,910,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,910,546391,953,1
Brooklyn,01 ONE FAMILY DWELLINGS,0,910,798000,923,1
Brooklyn,15 CONDOS - 2-10 UNIT RESIDENTIAL,0,896,888000,896,1
Brooklyn,29 COMMERCIAL GARAGES,1,650,422500,867,0
Brooklyn,01 ONE FAMILY DWELLINGS,0,750,290000,938,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,433,289000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,531,549000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,662,659000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,433,470000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,662,665000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,433,485000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,662,650000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,433,450000,864,1
Brooklyn,12 CONDOS - WALKUP APARTMENTS,0,433,475000,864,1
